# times(s)	x	y
0	0.23	1.709195056
0.08	0.31	2.199107665
0.16	0.39	2.601348791
0.24	0.47	2.89988235
0.32	0.55	3.082806751
0.4	0.63	3.142829374
0.48	0.71	3.077557309
0.56	0.79	2.889592745
0.64	0.87	2.586429237
0.72	0.95	2.180152958
0.8	1.03	1.686960859
0.88	1.11	1.126514955
0.96	1.19	0.521158455
1.04	1.27	-0.104974989
1.12	1.35	-0.72692341
1.2	1.43	-1.31989169
1.28	1.51	-1.860240053
1.36	1.59	-2.326426515
1.44	1.67	-2.699865694
1.52	1.75	-2.965669747
1.6	1.83	-3.113241906
1.68	1.91	-3.136698935
1.76	1.99	-3.035105676
1.84	2.07	-2.812512331
1.92	2.15	-2.477792995
2	2.23	-2.044291872
2.08	2.31	-1.529291282
2.16	2.39	-0.953322675
2.24	2.47	-0.339348102
2.32	2.55	0.28815521
2.4	2.63	0.904170682
2.48	2.71	1.484139723
2.56	2.79	2.004940796
2.64	2.87	2.445811207
2.72	2.95	2.789174844
2.8	3.03	3.021342881
2.88	3.11	3.133059511
2.96	3.19	3.119870946
3.04	3.27	2.982302972
3.12	3.35	2.725839989
3.2	3.43	2.360706368
3.28	3.51	1.901458834
3.36	3.59	1.366406136
3.44	3.67	0.776879138
3.52	3.75	0.15638042
3.6	3.83	-0.470352692
3.68	3.91	-1.078334326
3.76	3.99	-1.643326174
3.84	4.07	-2.142803793
3.92	4.15	-2.556854587
4	4.23	-2.868971657
4.08	4.31	-3.06671188
4.16	4.39	-3.142191979
4.24	4.47	-3.092402799
4.32	4.55	-2.919329278
4.4	4.63	-2.629871311
4.48	4.71	-2.235568674
4.56	4.79	-1.752140969
4.64	4.87	-1.198860933
4.72	4.95	-0.597786094
4.8	5.03	0.02712059
4.88	5.11	0.650946061
4.96	5.19	1.248820367
5.04	5.27	1.796908146
5.12	5.35	2.273358868
5.2	5.43	2.659177945
5.28	5.51	2.93898399
5.36	5.59	3.101622017
5.44	5.67	3.140608162
5.52	5.75	3.054388171
5.6	5.83	2.846399361
5.68	5.91	2.524933592
5.76	5.99	2.102806688
5.84	6.07	1.596847517
5.92	6.15	1.027227075
6	6.23	0.416654331
6.08	6.31	-0.210529106
6.16	6.39	-0.829319412
6.24	6.47	-1.41504737
6.32	6.55	-1.944361856
6.4	6.63	-2.396160769
6.48	6.71	-2.752432315
6.56	6.79	-2.998973069
6.64	6.87	-3.125954232
6.72	6.95	-3.128313463
6.8	7.03	-3.005956709
6.89	7.11	-2.763761947
6.98	7.12	-2.71812928
7.07	7.04	-2.350495287
7.15	6.96	-1.889154466
7.23	6.88	-1.352499017
7.31	6.8	-0.7619237
7.39	6.72	-0.14097289
7.47	6.64	0.485598064
7.55	6.56	1.092809756
7.63	6.48	1.656454571
7.71	6.4	2.15406177
7.79	6.32	2.565793324
7.87	6.24	2.875234795
7.95	6.16	3.070049728
8.03	6.08	3.142471466
8.11	6	3.089612783
8.19	5.92	2.913580989
8.27	5.84	2.621393915
8.35	5.76	2.224700138
8.43	5.68	1.739314587
8.51	5.6	1.184588052
8.59	5.52	0.582635729
8.67	5.44	-0.042544441
8.75	5.36	-0.666028499
8.83	5.28	-1.262960102
8.91	5.2	-1.809541472
8.99	5.12	-2.283982133
9.07	5.04	-2.667367634
9.15	4.96	-2.944413605
9.23	4.88	-3.104075098
9.31	4.8	-3.139986911
9.39	4.72	-3.050717355
9.47	4.64	-2.839825326
9.55	4.56	-2.515718422
9.63	4.48	-2.091317764
9.71	4.4	-1.583542865
9.79	4.32	-1.01263711
9.87	4.24	-0.401360709
9.95	4.16	0.225916677
